DEVICE NAME,DESCRIPTION,DIRECTORY NUMBER 1,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 22,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 25,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 29,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 5
SEPAFDCC,|BDFMAVLAN|5FRMU|92|BAS|25|David Cenedella|FCHA|NTX||NON|NON,551132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggE,|BDFMAVLAN|5FRMU|92|BAS||Michelle Maillet|UNKNOWN|NTX||NON|NON,551133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCC,|BDFMAVLAN|5FRMU|92|BAS||Kim Ryder|FCHFZ|NTX||NON|NON,551134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggaaA,|BDFMAVLAN|5FRMU|92|BAS||Lucas Dougherty|FCH259F9U|NTX||NON|NON,551135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCCaaD,|BDFMAVLAN|5FRMU|92|BAS||Nideth Heng|FCH29M|NTX||NON|NON,551136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCB,|BDFMAVLAN|5FRMU|92|BAS||Paul Sateriale|UNKNOWN|NTX||NON|NON,551137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBggAEggBB,|BDFMAVLAN|5FRMU|92|BAS||Paul Jones|FCH92QG|NTX||NON|NON,551138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCF,|BDFMAVLAN|5FRMU|92|BAS|5|Rob McHugh|FCHFDD|NTX||NON|NON,551139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggaaE,|BDFMAVLAN|5FRMU|92|BAS|52|Masatoshi Kohara|FCH9U|NTX||NON|NON,551140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaDB,|BDFMAVLAN|5FRMU|92|BAS|5|Chhaya Lim|FCH9FUV|NTX||NON|NON,551141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggCaaE,|BDFMAVLAN|5FRMU|92|BAS|52|MABED Gym|FCH2H|NTX|NON|NON|NON,551142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCaaA,|BDFMAVLAN|5FRMU|92|BAS|525|Tina Perera|FCHFF2|NTX||NON|NON,551143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBEE,|BDFMAVLAN|5FRMU|92|BAS|55|Philip Caruso|FCH259AT|NTX||NON|NON,551144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCCBBFB,|BDFMAVLAN|5FRMU|92|BAS|552|Brian Levesque|FCH9YY|NTX||NON|NON,551145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCgg,|BDFMAVLAN|5FRMU|92|BAS|55|Timothy McDonough|FCHF9|NTX||NON|NON,551146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFEgg,|BDFMAVLAN|5FRMU|92|BAS|XXXX|UNASSIGNED|FCH259EBG|NTX||NON|NON,551147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBFD,|BDFMAVLAN|5FRMU|92|BAS|XXXX|UNASSIGNED|UNKNOWN|NTX||NON|NON,551148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFE,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCH259EBW|NTX|NON|NON|NON,551149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggaaaa,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCH2DC|NTX|NON|NON|NON,551150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBgg,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCH29Y|NTX|NON|NON|NON,551151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggAA,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCH9TX|NTX|NON|NON|NON,551152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBF,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCHG9K|NTX|NON|NON|NON,551153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBBB,|BDFMAVLAN|5F|92|BAS|XXXX|UNASSIGNED|FCH9VG|NTX|NON|NON|NON,551154,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaagg,|BDFMAVLAN|5F|92|NON|XXXX|UNASSIGNED|FCH9TG|NTX|NON|NON|NON,551155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggaaC,|BDFMAVLAN|5F|92|NON|XXXX|UNASSIGNED|FCH9TQF|NTX|NON|NON|NON,551156,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaD,|BDFMAVLAN|5F|92|NON|XXXX|UNASSIGNED|FCHAS|NTX|NON|NON|NON,551157,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCDA,|BDFMAVLAN|5F|92|NON|XXXX|UNASSIGNED|FCHFCQ|NTX|NON|NON|NON,551158,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFFCaaABBaa,|BDFMAVLAN|5F|92|BAS|5|MABED OPERATOR|FCHAY|NTX|NON|NON|NON,551159,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFaaEECDD,|BDFMAVLAN|5FRMU|9|CAP||MABED CONF RM 5|F2EECDD|FOP|NON|NON|NON,551160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCCaaBB,|BDFMAVLAN|5FRMU|92|BAS||MABED Stockroom|FCH29MK|NTX|NON|NON|NON,551161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggaaF,|BDFMAVLAN|5FRMU|92|BAS||MABED FRMU Lobby|FCH9U|NTX|NON|NON|NON,551162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBgg,|BDFMAVLAN|5FRMU|92|BAS|599|MABED PVGC Room 599|FCHGE|NTX|NON|NON|NON,551163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBB,|BDFMAVLAN|5FRMU|92|CAP|5| HR  SCM|UNKNOWN|NTX|NON|NON|NON,551164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBB,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCHAE|NTX|NON|NON|NON,551165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBAggED,|BDFMAVLAN|5FRMU|92|BAS|9|Sam Sok|FCH25TVA|NTX||NON|NON,551166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBABB,|BDFMAVLAN|5FRMU|92|BAS||Steve McLaren|FCH25U5J|NTX||NON|NON,551167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBDggaa,|BDFMAVLAN|5FRMU|92|BAS||MABED ECM Maint|FCH229ARJ|NTX|NON|NON|NON,551168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBBCgg,|BDFMAVLAN|5FRMU|92|BAS|5|Mark Deschaine|FCH9V9|NTX||NON|NON,551169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFDgg,|BDFMAVLAN|5FRMU|92|BAS|2|MABED Inside Stockroom|FCH259EX|NTX|NON|NON|NON,551170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBB,|BDFMAVLAN|5FRMU|92|BAS|95|MABED Printing|FCHG2S|NTX|NON|NON|NON,551171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBF,|BDFMAVLAN|5FRMU|92|BAS|5|MABED LTO AssyTS|FCHFUP|NTX|NON|NON|NON,551172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaE,|BDFMAVLAN|5FRMU|92|BAS|52|Tatsy Arruda|FCHATK|NTX||NON|NON,551173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBB,|BDFMAVLAN|5FRMU|92|BAS|5|MABED |FCHGJ|NTX|NON|NON|NON,551174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggB,|BDFMAVLAN|5FRMU|92|BAS|5|MABED DLT Assembly|FCH259FGP|NTX|NON|NON|NON,551175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBBF,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCH9UT|NTX|NON|NON|NON,551176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaEA,|BDFMAVLAN|5FRMU|92|NON|XXXX|UNASSIGNED|FCHA5F|NTX|NON|NON|NON,551177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaF,|BDFMAVLAN5|5FRMU|92|BAS||Mark Hammond|FCHA5R|NTX||NON|NON,551178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggFE,|BDFMAVLAN5|5FRMU|92|BAS|55|MABED Tape Unpack Area|FCH2SW|NTX|NON|NON|NON,551179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaagg,|BDFMAVLAN5|5FRMU|92|BAS|5|MABED Engineering Lab|FCH9UVY|NTX|NON|NON|NON,551180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFaaF,|BDFMAVLAN5|5FRMU|92|BAS|5|Susan Sao|FCH259BVD|NTX||NON|NON,551181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggACaa,|BDFMAVLAN5|5FRMU|92|NON|XXXX|UNASSIGNED|FCH29A|NTX|NON|NON|NON,551182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggE,|BDFMAVLAN|5FRMU|92|BAS||Kieran Apostolakes|FCH9V2G|NTX||NON|NON,551183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaagggg,|BDFMAVLAN|5FRMU|92|BAS||Thyda Ly|FCH9UW|NTX||NON|NON,551184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBBBaaaa,|BDFMAVLAN|5FRMU|92|BAS|5|MABED CONF RM |FCHRGE|NTX|NON|NON|NON,551185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggggD,|BDFMAVLAN|5FRMU|92|BAS|5|Elio Nicolau|FCH9UYL|NTX||NON|NON,551186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggAgg,|BDFMAVLAN|5FRMU|92|BAS|5|Peter Stone|FCH9VDH|NTX||NON|NON,551187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCCE,|BDFMAVLAN|5FRMU|92|BAS|5|MABED Data Center|FCHGGV|NTX||NON|NON,551188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCEgg,|BDFMAVLAN|5FRMU|92|BAS|5|Sarath Cheap|FCHFD|NTX||NON|NON,551189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBBA,|BDFMAVLAN|5FRMU|92|BAS|59|Joe Corriere|FCH9USV|NTX||NON|NON,551190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaBBBBE,|BDFMAVLAN|5FRMU|92|BAS|5|ServerRoom MABED|FCHA2AZ|NTX|NON|NON|NON,551191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaEF,|BDFMAVLAN|5FRMU|92|BAS|5|Amanda Schwabe|FCH9ZYK|NTX||NON|NON,551192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCCBBF,|BDFMAVLAN|5FRMU|92|BAS|5|Harry Huoth|FCHFUJ|NTX||NON|NON,551193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaggBBE,|BDFMAVLAN|5FRMU|92|BAS|XXXX|UNASSIGNED|FCH9VM|NTX||NON|NON,551194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggFBBBFCBBBB,|BRYTXCWFL|59FDBT|2|BAS|552|Area |UNKNOWN|NTX|NON|NON|NON,551195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggFBBBFCgg,|BRYTXCWFL|59FDBT|2|CAP||Entry |UNKNOWN|NTX|NON|NON|NON,551196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCEADEE,|BRYTXCWFL|59FDBT||BAS|52|Drew Ford|WZP2N|NTX||NON|NON,551197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFgg,|BRYTXCWFL|59FDBT||BAS|55|Taylor Wells|UNKNOWN|NTX||NON|NON,551198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFggB,|BRYTXCWFL|59FDBT||BAS|5|Katerina Hall|UNKNOWN|NTX||NON|NON,551199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFD,|BRYTXCWFL|59FDBT||BAS|5|Lasanya McDowell|UNKNOWN|NTX||NON|NON,551200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFBBaaaa,|BRYTXCWFL|59FDBT||BAS|59|Brook Guidry|UNKNOWN|NTX||NON|NON,551201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFBE,|BRYTXCWFL|59FDBT||BAS|5|Office m|UNKNOWN|NTX|NON|NON|NON,551202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFBBaaE,|BRYTXCWFL|59FDBT||BAS|52|Office q|UNKNOWN|NTX|NON|NON|NON,551203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFggD,|BRYTXCWFL|59FDBT||BAS|5|Myron Hawryluk|WZP22CZ|NTX||NON|NON,551204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFE,|BRYTXCWFL|59FDBT||BAS|5|Office v|UNKNOWN|NTX|NON|NON|NON,551205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFFF,|BRYTXCWFL|59FDBT||BAS|55|Office w|UNKNOWN|NTX|NON|NON|NON,551206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFBB,|BRYTXCWFL|59FDBT||BAS|5|Graham Johns|UNKNOWN|NTX||NON|NON,551207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaaaaF,|BRYTXCWFL|59FDBT||BAS|59|Audit Rm.  |UNKNOWN|NTX|NON|NON|NON,551208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFE,|BRYTXCWFL|59FDBT||BAS|55|Office |UNKNOWN|NTX|NON|NON|NON,551209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFA,|BRYTXCWFL|59FDBT||BAS||Javier Perez|UNKNOWN|NTX||NON|NON,551210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFEB,|BRYTXCWFL|59FDBT||BAS||Johnnie Bryant|SWZP229M|CUS||NON|NON,551211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBEFED,|BRYTXCWFL|59FDBT||BAS|5|Kimberly Schoellman|UNKNOWN|NTX||NON|NON,551212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBF,|BRYTXCWFL|59FDBT||BAS|5|Teneshia Noland|UNKNOWN|NTX||NON|NON,551213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaaC,|BRYTXCWFL|59FDBT||BAS|595|Office 2C|UNKNOWN|NTX||NON|NON,551214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBECC,|BRYTXCWFL|59FDBT||BAS||Michael Plagens|WZP29RA|NTX||NON|NON,551215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaaC,|BRYTXCWFL|59FDBT||BAS|2|Nurse Sta.|UNKNOWN|NTX||NON|NON,551216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBF,|BRYTXCWFL|59FDBT||BAS||d|UNKNOWN|NTX|NON|NON|NON,551217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFFB,|BRYTXCWFL|59FDBT||BAS|XXXX|UNAASIGNED|UNKNOWN|NTX||NON|NON,551218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFAaa,|BRYTXCWFL|59FDBT||BAS|XXXX|UNASSIGNED|UNKNOWN|NTX||NON|NON,551219,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFD,|BRYTXCWFL|59FDBT||BAS|XXXX|UNASSIGNED|WZP22CH|NTX||NON|NON,551220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaa,|BRYTXCWFL|59FDBT||CAP|55|Huddle  |UNKNOWN|NTX|NON|NON|NON,551221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaa,|BRYTXCWFL|59FDBT||CAP|55|9d|UNKNOWN|NTX|NON|NON|NON,551222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPfggaaaae,|BRYTXCWFL|59FDBT||CAP|5| ATIC Room |WZP29XU|NTX|NON|NON|NON,551223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBEDF,|BRYTXCWFL|59FDBT||CAP|| ATIC Shipping Receiving|UNKNOWN|NTX|NON|NON|NON,551224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBEDgg,|BRYTXCWFL|59FDBT||CAP|55| NEXUS  Parts Storage|UNKNOWN|NTX|NON|NON|NON,551225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaaD,|BRYTXCWFL|59FDBT||CAP|9|Phone Rm. |UNKNOWN|NTX|NON|NON|NON,551226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBFaagggg,|BRYTXCWFL|59FDBT||CAP||Phone Rm. |UNKNOWN|NTX|NON|NON|NON,551227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBEFFaa,|BRYTXCWFL|59FDBT||CAP||Interview Rm. 5|UNKNOWN|NTX|NON|NON|NON,551228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBBF,|BRYTXCWFL|59FDBT||ENH|5|Benton Cole|SWZP22|NTX||NON|NON,551229,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
